"variable","iteration","chain","mean"
"race","1","Chain 5",NA
"education","1","Chain 5",1.16279069767442
"pir","1","Chain 5",0.776409158998512
"smoke","1","Chain 5",2.0188679245283
"cycle","1","Chain 5",NA
"stratum","1","Chain 5",NA
"psu","1","Chain 5",NA
"logweight","1","Chain 5",NA
"ra","2","Chain 5",NA
"asthma_aux","2","Chain 5",NA
"age1","2","Chain 5",NA
"age2","2","Chain 5",NA
"age3","2","Chain 5",NA
"sex","2","Chain 5",NA
"race","2","Chain 5",NA
"education","2","Chain 5",1
"pir","2","Chain 5",4.80034239246737
"smoke","2","Chain 5",1.66037735849057
"cycle","2","Chain 5",NA
"stratum","2","Chain 5",NA
"psu","2","Chain 5",NA
"logweight","2","Chain 5",NA
"ra","3","Chain 5",NA
"asthma_aux","3","Chain 5",NA
"age1","3","Chain 5",NA
"age2","3","Chain 5",NA
"age3","3","Chain 5",NA
"sex","3","Chain 5",NA
"race","3","Chain 5",NA
"education","3","Chain 5",2.06976744186047
"pir","3","Chain 5",0.758517012625729
"smoke","3","Chain 5",2
"cycle","3","Chain 5",NA
"stratum","3","Chain 5",NA
"psu","3","Chain 5",NA
"logweight","3","Chain 5",NA
"ra","4","Chain 5",NA
"asthma_aux","4","Chain 5",NA
"age1","4","Chain 5",NA
"age2","4","Chain 5",NA
"age3","4","Chain 5",NA
"sex","4","Chain 5",NA
"race","4","Chain 5",NA
"education","4","Chain 5",1
"pir","4","Chain 5",4.79609672587203
"smoke","4","Chain 5",1
"cycle","4","Chain 5",NA
"stratum","4","Chain 5",NA
"psu","4","Chain 5",NA
"logweight","4","Chain 5",NA
"ra","5","Chain 5",NA
"asthma_aux","5","Chain 5",NA
"age1","5","Chain 5",NA
"age2","5","Chain 5",NA
"age3","5","Chain 5",NA
"sex","5","Chain 5",NA
"race","5","Chain 5",NA
"education","5","Chain 5",1.84883720930233
"pir","5","Chain 5",4.79092659961481
"smoke","5","Chain 5",1.77358490566038
"cycle","5","Chain 5",NA
"stratum","5","Chain 5",NA
"psu","5","Chain 5",NA
"logweight","5","Chain 5",NA
"ra","6","Chain 5",NA
"asthma_aux","6","Chain 5",NA
"age1","6","Chain 5",NA
"age2","6","Chain 5",NA
"age3","6","Chain 5",NA
"sex","6","Chain 5",NA
"race","6","Chain 5",NA
"education","6","Chain 5",5
"pir","6","Chain 5",1.19629146158784
"smoke","6","Chain 5",1.9622641509434
"cycle","6","Chain 5",NA
"stratum","6","Chain 5",NA
"psu","6","Chain 5",NA
"logweight","6","Chain 5",NA
"ra","7","Chain 5",NA
"asthma_aux","7","Chain 5",NA
"age1","7","Chain 5",NA
"age2","7","Chain 5",NA
"age3","7","Chain 5",NA
"sex","7","Chain 5",NA
"race","7","Chain 5",NA
"education","7","Chain 5",5
"pir","7","Chain 5",4.78227263000214
"smoke","7","Chain 5",1
"cycle","7","Chain 5",NA
"stratum","7","Chain 5",NA
"psu","7","Chain 5",NA
"logweight","7","Chain 5",NA
"ra","8","Chain 5",NA
"asthma_aux","8","Chain 5",NA
"age1","8","Chain 5",NA
"age2","8","Chain 5",NA
"age3","8","Chain 5",NA
"sex","8","Chain 5",NA
